Widget [sequenceId=1, transactionId=1431, description=1431 description, category=B, price=73.0]
Widget [sequenceId=76, transactionId=3899, description=3899 description, category=B, price=84.0]
Widget [sequenceId=77, transactionId=3850, description=3850 description, category=B, price=94.0]
Widget [sequenceId=78, transactionId=9122, description=9122 description, category=A, price=80.0]
Widget [sequenceId=79, transactionId=3974, description=3974 description, category=C, price=87.0]
Widget [sequenceId=80, transactionId=9640, description=9640 description, category=C, price=58.0]
Widget [sequenceId=81, transactionId=7616, description=7616 description, category=A, price=96.0]
Widget [sequenceId=82, transactionId=6132, description=6132 description, category=D, price=25.0]
Widget [sequenceId=83, transactionId=4269, description=4269 description, category=D, price=57.0]
Widget [sequenceId=84, transactionId=9198, description=9198 description, category=C, price=88.0]
Widget [sequenceId=85, transactionId=2915, description=2915 description, category=C, price=33.0]
Widget [sequenceId=86, transactionId=1927, description=1927 description, category=C, price=53.0]
Widget [sequenceId=87, transactionId=5944, description=5944 description, category=D, price=28.0]
Widget [sequenceId=88, transactionId=6294, description=6294 description, category=D, price=58.0]
Widget [sequenceId=89, transactionId=1747, description=1747 description, category=D, price=55.0]
Widget [sequenceId=90, transactionId=7845, description=7845 description, category=A, price=27.0]
Widget [sequenceId=91, transactionId=7581, description=7581 description, category=D, price=61.0]
Widget [sequenceId=92, transactionId=1587, description=1587 description, category=A, price=39.0]
Widget [sequenceId=93, transactionId=8134, description=8134 description, category=A, price=83.0]
Widget [sequenceId=94, transactionId=3143, description=3143 description, category=A, price=58.0]
Widget [sequenceId=95, transactionId=4253, description=4253 description, category=B, price=100.0]
Widget [sequenceId=96, transactionId=5997, description=5997 description, category=B, price=53.0]
Widget [sequenceId=97, transactionId=8942, description=8942 description, category=D, price=100.0]
Widget [sequenceId=98, transactionId=4709, description=4709 description, category=D, price=50.0]
Widget [sequenceId=99, transactionId=4753, description=4753 description, category=A, price=57.0]
Widget [sequenceId=100, transactionId=6921, description=6921 description, category=A, price=93.0]
Widget [sequenceId=101, transactionId=9470, description=9470 description, category=A, price=55.0]
Widget [sequenceId=102, transactionId=2176, description=2176 description, category=A, price=95.0]
Widget [sequenceId=103, transactionId=9801, description=9801 description, category=C, price=72.0]
Widget [sequenceId=104, transactionId=5400, description=5400 description, category=D, price=99.0]
Widget [sequenceId=105, transactionId=3849, description=3849 description, category=D, price=70.0]
Widget [sequenceId=106, transactionId=8948, description=8948 description, category=B, price=55.0]
Widget [sequenceId=107, transactionId=1562, description=1562 description, category=B, price=59.0]
Widget [sequenceId=108, transactionId=1944, description=1944 description, category=B, price=38.0]
Widget [sequenceId=109, transactionId=2639, description=2639 description, category=C, price=74.0]
Widget [sequenceId=110, transactionId=6299, description=6299 description, category=A, price=65.0]
Widget [sequenceId=111, transactionId=7554, description=7554 description, category=D, price=50.0]
Widget [sequenceId=112, transactionId=8213, description=8213 description, category=A, price=74.0]
Widget [sequenceId=113, transactionId=6071, description=6071 description, category=D, price=72.0]
Widget [sequenceId=114, transactionId=2910, description=2910 description, category=A, price=45.0]
Widget [sequenceId=115, transactionId=1806, description=1806 description, category=D, price=80.0]
Widget [sequenceId=116, transactionId=5061, description=5061 description, category=C, price=68.0]
Widget [sequenceId=117, transactionId=8440, description=8440 description, category=A, price=25.0]
Widget [sequenceId=118, transactionId=5805, description=5805 description, category=D, price=83.0]
Widget [sequenceId=119, transactionId=1852, description=1852 description, category=A, price=62.0]
Widget [sequenceId=120, transactionId=2169, description=2169 description, category=D, price=26.0]
Widget [sequenceId=121, transactionId=4446, description=4446 description, category=C, price=63.0]
Widget [sequenceId=122, transactionId=7963, description=7963 description, category=A, price=94.0]
Widget [sequenceId=123, transactionId=8033, description=8033 description, category=B, price=64.0]
Widget [sequenceId=124, transactionId=7917, description=7917 description, category=C, price=54.0]
Widget [sequenceId=125, transactionId=2117, description=2117 description, category=D, price=62.0]
Widget [sequenceId=126, transactionId=1428, description=1428 description, category=A, price=81.0]
Widget [sequenceId=127, transactionId=9079, description=9079 description, category=D, price=95.0]
Widget [sequenceId=128, transactionId=4863, description=4863 description, category=B, price=38.0]
Widget [sequenceId=129, transactionId=8488, description=8488 description, category=C, price=67.0]
Widget [sequenceId=130, transactionId=9196, description=9196 description, category=D, price=31.0]
Widget [sequenceId=131, transactionId=1411, description=1411 description, category=C, price=63.0]
Widget [sequenceId=132, transactionId=7988, description=7988 description, category=A, price=84.0]
Widget [sequenceId=133, transactionId=7179, description=7179 description, category=A, price=43.0]
Widget [sequenceId=134, transactionId=6282, description=6282 description, category=B, price=82.0]
Widget [sequenceId=135, transactionId=9059, description=9059 description, category=A, price=98.0]
Widget [sequenceId=136, transactionId=7402, description=7402 description, category=C, price=69.0]
Widget [sequenceId=137, transactionId=7809, description=7809 description, category=A, price=76.0]
Widget [sequenceId=138, transactionId=6702, description=6702 description, category=A, price=74.0]
Widget [sequenceId=139, transactionId=4767, description=4767 description, category=B, price=82.0]
Widget [sequenceId=140, transactionId=9862, description=9862 description, category=C, price=58.0]
Widget [sequenceId=141, transactionId=1924, description=1924 description, category=D, price=84.0]
Widget [sequenceId=142, transactionId=3526, description=3526 description, category=A, price=99.0]
Widget [sequenceId=143, transactionId=4529, description=4529 description, category=C, price=73.0]
Widget [sequenceId=144, transactionId=8008, description=8008 description, category=D, price=68.0]
Widget [sequenceId=145, transactionId=5818, description=5818 description, category=B, price=81.0]
Widget [sequenceId=146, transactionId=7265, description=7265 description, category=B, price=88.0]
Widget [sequenceId=147, transactionId=7593, description=7593 description, category=A, price=32.0]
Widget [sequenceId=148, transactionId=9685, description=9685 description, category=C, price=62.0]
Widget [sequenceId=149, transactionId=2371, description=2371 description, category=A, price=47.0]
Widget [sequenceId=150, transactionId=6591, description=6591 description, category=A, price=75.0]
Widget [sequenceId=151, transactionId=5066, description=5066 description, category=C, price=89.0]
Widget [sequenceId=152, transactionId=6264, description=6264 description, category=B, price=25.0]
Widget [sequenceId=153, transactionId=9016, description=9016 description, category=A, price=100.0]
Widget [sequenceId=154, transactionId=1103, description=1103 description, category=D, price=25.0]
Widget [sequenceId=155, transactionId=5302, description=5302 description, category=B, price=82.0]
Widget [sequenceId=156, transactionId=3382, description=3382 description, category=B, price=58.0]
Widget [sequenceId=157, transactionId=4287, description=4287 description, category=C, price=37.0]
Widget [sequenceId=158, transactionId=3073, description=3073 description, category=A, price=26.0]
Widget [sequenceId=159, transactionId=8537, description=8537 description, category=C, price=30.0]
Widget [sequenceId=160, transactionId=7979, description=7979 description, category=A, price=80.0]
Widget [sequenceId=161, transactionId=6121, description=6121 description, category=D, price=54.0]
Widget [sequenceId=162, transactionId=2711, description=2711 description, category=C, price=28.0]
Widget [sequenceId=163, transactionId=8325, description=8325 description, category=A, price=40.0]
Widget [sequenceId=164, transactionId=2396, description=2396 description, category=B, price=92.0]
Widget [sequenceId=165, transactionId=8018, description=8018 description, category=C, price=27.0]
Widget [sequenceId=166, transactionId=2706, description=2706 description, category=A, price=43.0]
Widget [sequenceId=167, transactionId=6116, description=6116 description, category=B, price=50.0]
Widget [sequenceId=168, transactionId=8331, description=8331 description, category=D, price=37.0]
Widget [sequenceId=169, transactionId=2334, description=2334 description, category=B, price=97.0]
Widget [sequenceId=170, transactionId=8271, description=8271 description, category=B, price=44.0]
Widget [sequenceId=171, transactionId=1930, description=1930 description, category=C, price=72.0]
Widget [sequenceId=172, transactionId=3823, description=3823 description, category=A, price=26.0]
Widget [sequenceId=173, transactionId=9228, description=9228 description, category=C, price=27.0]
Widget [sequenceId=174, transactionId=6060, description=6060 description, category=C, price=55.0]
Widget [sequenceId=175, transactionId=5270, description=5270 description, category=D, price=75.0]
Widget [sequenceId=176, transactionId=9909, description=9909 description, category=B, price=40.0]
Widget [sequenceId=177, transactionId=5282, description=5282 description, category=B, price=31.0]
Widget [sequenceId=178, transactionId=8748, description=8748 description, category=A, price=91.0]
Widget [sequenceId=179, transactionId=7131, description=7131 description, category=A, price=73.0]
Widget [sequenceId=180, transactionId=9501, description=9501 description, category=B, price=51.0]
Widget [sequenceId=181, transactionId=5005, description=5005 description, category=A, price=66.0]
Widget [sequenceId=182, transactionId=1940, description=1940 description, category=C, price=66.0]
Widget [sequenceId=183, transactionId=1151, description=1151 description, category=A, price=93.0]
Widget [sequenceId=184, transactionId=9434, description=9434 description, category=B, price=75.0]
Widget [sequenceId=185, transactionId=2093, description=2093 description, category=D, price=44.0]
Widget [sequenceId=186, transactionId=9247, description=9247 description, category=C, price=64.0]
Widget [sequenceId=187, transactionId=2648, description=2648 description, category=B, price=86.0]
Widget [sequenceId=188, transactionId=9555, description=9555 description, category=B, price=27.0]
Widget [sequenceId=189, transactionId=7743, description=7743 description, category=A, price=92.0]
Widget [sequenceId=190, transactionId=2761, description=2761 description, category=B, price=82.0]
Widget [sequenceId=191, transactionId=3275, description=3275 description, category=D, price=97.0]
Widget [sequenceId=192, transactionId=6728, description=6728 description, category=D, price=91.0]
Widget [sequenceId=193, transactionId=6298, description=6298 description, category=D, price=31.0]
Widget [sequenceId=194, transactionId=1649, description=1649 description, category=D, price=54.0]
Widget [sequenceId=195, transactionId=4745, description=4745 description, category=B, price=98.0]
Widget [sequenceId=196, transactionId=4754, description=4754 description, category=C, price=49.0]
Widget [sequenceId=197, transactionId=1097, description=1097 description, category=B, price=43.0]
Widget [sequenceId=198, transactionId=9283, description=9283 description, category=B, price=52.0]
Widget [sequenceId=199, transactionId=3844, description=3844 description, category=A, price=27.0]
Widget [sequenceId=200, transactionId=1017, description=1017 description, category=D, price=85.0]
Widget [sequenceId=201, transactionId=7810, description=7810 description, category=D, price=89.0]
Widget [sequenceId=202, transactionId=2603, description=2603 description, category=B, price=69.0]
Widget [sequenceId=203, transactionId=8698, description=8698 description, category=A, price=58.0]
Widget [sequenceId=204, transactionId=3784, description=3784 description, category=B, price=62.0]
Widget [sequenceId=205, transactionId=1131, description=1131 description, category=C, price=50.0]
Widget [sequenceId=206, transactionId=8295, description=8295 description, category=B, price=51.0]
Widget [sequenceId=207, transactionId=5940, description=5940 description, category=A, price=39.0]
Widget [sequenceId=208, transactionId=1933, description=1933 description, category=B, price=89.0]
Widget [sequenceId=209, transactionId=5240, description=5240 description, category=A, price=71.0]
Widget [sequenceId=210, transactionId=7500, description=7500 description, category=A, price=28.0]
Widget [sequenceId=211, transactionId=6329, description=6329 description, category=C, price=30.0]
Widget [sequenceId=212, transactionId=1912, description=1912 description, category=A, price=88.0]
Widget [sequenceId=213, transactionId=3580, description=3580 description, category=D, price=68.0]
Widget [sequenceId=214, transactionId=3307, description=3307 description, category=C, price=70.0]
Widget [sequenceId=215, transactionId=4792, description=4792 description, category=C, price=60.0]
Widget [sequenceId=216, transactionId=6289, description=6289 description, category=D, price=96.0]
Widget [sequenceId=217, transactionId=5478, description=5478 description, category=B, price=76.0]
Widget [sequenceId=218, transactionId=6808, description=6808 description, category=A, price=26.0]
Widget [sequenceId=219, transactionId=7787, description=7787 description, category=A, price=49.0]
Widget [sequenceId=220, transactionId=9159, description=9159 description, category=D, price=56.0]
Widget [sequenceId=221, transactionId=9094, description=9094 description, category=C, price=57.0]
Widget [sequenceId=222, transactionId=2143, description=2143 description, category=D, price=43.0]
Widget [sequenceId=223, transactionId=6710, description=6710 description, category=A, price=94.0]
Widget [sequenceId=224, transactionId=2817, description=2817 description, category=A, price=53.0]
Widget [sequenceId=225, transactionId=1926, description=1926 description, category=B, price=58.0]
Widget [sequenceId=226, transactionId=7502, description=7502 description, category=D, price=72.0]
Widget [sequenceId=227, transactionId=8346, description=8346 description, category=C, price=37.0]
Widget [sequenceId=228, transactionId=5193, description=5193 description, category=C, price=29.0]
Widget [sequenceId=229, transactionId=9382, description=9382 description, category=D, price=76.0]
Widget [sequenceId=230, transactionId=9529, description=9529 description, category=D, price=26.0]
Widget [sequenceId=231, transactionId=4733, description=4733 description, category=A, price=47.0]
Widget [sequenceId=232, transactionId=9195, description=9195 description, category=B, price=27.0]
Widget [sequenceId=233, transactionId=5223, description=5223 description, category=A, price=28.0]
Widget [sequenceId=234, transactionId=8115, description=8115 description, category=B, price=58.0]
Widget [sequenceId=235, transactionId=8997, description=8997 description, category=D, price=67.0]
Widget [sequenceId=236, transactionId=5010, description=5010 description, category=A, price=85.0]
Widget [sequenceId=237, transactionId=4045, description=4045 description, category=C, price=84.0]
Widget [sequenceId=238, transactionId=9489, description=9489 description, category=D, price=81.0]
Widget [sequenceId=239, transactionId=8014, description=8014 description, category=D, price=37.0]
Widget [sequenceId=240, transactionId=7548, description=7548 description, category=C, price=67.0]
Widget [sequenceId=241, transactionId=2912, description=2912 description, category=D, price=39.0]
Widget [sequenceId=242, transactionId=1451, description=1451 description, category=B, price=68.0]
Widget [sequenceId=243, transactionId=2543, description=2543 description, category=B, price=32.0]
Widget [sequenceId=244, transactionId=6781, description=6781 description, category=D, price=57.0]
Widget [sequenceId=245, transactionId=5936, description=5936 description, category=A, price=42.0]
Widget [sequenceId=246, transactionId=7986, description=7986 description, category=B, price=86.0]
Widget [sequenceId=247, transactionId=7211, description=7211 description, category=B, price=83.0]
Widget [sequenceId=248, transactionId=9935, description=9935 description, category=D, price=61.0]
Widget [sequenceId=249, transactionId=2789, description=2789 description, category=D, price=98.0]
Widget [sequenceId=250, transactionId=8139, description=8139 description, category=B, price=61.0]
Widget [sequenceId=251, transactionId=3358, description=3358 description, category=A, price=52.0]
Widget [sequenceId=252, transactionId=5048, description=5048 description, category=B, price=59.0]
Widget [sequenceId=253, transactionId=5449, description=5449 description, category=C, price=96.0]
Widget [sequenceId=254, transactionId=7955, description=7955 description, category=D, price=62.0]
Widget [sequenceId=255, transactionId=8250, description=8250 description, category=A, price=80.0]
Widget [sequenceId=256, transactionId=6839, description=6839 description, category=C, price=34.0]
Widget [sequenceId=257, transactionId=3604, description=3604 description, category=A, price=86.0]
Widget [sequenceId=258, transactionId=3222, description=3222 description, category=C, price=56.0]
Widget [sequenceId=259, transactionId=9210, description=9210 description, category=D, price=90.0]
Widget [sequenceId=260, transactionId=7477, description=7477 description, category=C, price=68.0]
Widget [sequenceId=261, transactionId=3993, description=3993 description, category=B, price=52.0]
Widget [sequenceId=262, transactionId=1923, description=1923 description, category=B, price=62.0]
Widget [sequenceId=263, transactionId=6769, description=6769 description, category=D, price=38.0]
Widget [sequenceId=264, transactionId=2746, description=2746 description, category=D, price=91.0]
Widget [sequenceId=265, transactionId=1723, description=1723 description, category=D, price=28.0]
Widget [sequenceId=266, transactionId=4598, description=4598 description, category=B, price=84.0]
Widget [sequenceId=267, transactionId=6307, description=6307 description, category=C, price=28.0]
Widget [sequenceId=268, transactionId=8197, description=8197 description, category=C, price=44.0]
Widget [sequenceId=269, transactionId=1275, description=1275 description, category=B, price=46.0]
Widget [sequenceId=270, transactionId=9170, description=9170 description, category=B, price=99.0]
Widget [sequenceId=271, transactionId=5019, description=5019 description, category=B, price=42.0]
Widget [sequenceId=272, transactionId=5538, description=5538 description, category=B, price=83.0]
Widget [sequenceId=273, transactionId=1035, description=1035 description, category=D, price=29.0]
Widget [sequenceId=274, transactionId=1222, description=1222 description, category=B, price=35.0]
Widget [sequenceId=275, transactionId=4103, description=4103 description, category=C, price=94.0]
Widget [sequenceId=276, transactionId=2771, description=2771 description, category=A, price=99.0]
Widget [sequenceId=277, transactionId=9873, description=9873 description, category=B, price=92.0]
Widget [sequenceId=278, transactionId=1490, description=1490 description, category=C, price=92.0]
Widget [sequenceId=279, transactionId=5372, description=5372 description, category=A, price=88.0]
Widget [sequenceId=280, transactionId=7935, description=7935 description, category=A, price=92.0]
Widget [sequenceId=281, transactionId=1901, description=1901 description, category=A, price=64.0]
Widget [sequenceId=282, transactionId=7594, description=7594 description, category=C, price=93.0]
Widget [sequenceId=283, transactionId=9437, description=9437 description, category=A, price=92.0]
Widget [sequenceId=284, transactionId=9816, description=9816 description, category=A, price=42.0]
Widget [sequenceId=285, transactionId=2387, description=2387 description, category=B, price=96.0]
Widget [sequenceId=286, transactionId=4263, description=4263 description, category=A, price=84.0]
Widget [sequenceId=287, transactionId=5227, description=5227 description, category=B, price=59.0]
Widget [sequenceId=288, transactionId=1914, description=1914 description, category=A, price=48.0]
Widget [sequenceId=289, transactionId=1180, description=1180 description, category=D, price=54.0]
Widget [sequenceId=290, transactionId=8097, description=8097 description, category=D, price=27.0]
Widget [sequenceId=291, transactionId=6734, description=6734 description, category=A, price=85.0]
Widget [sequenceId=292, transactionId=2313, description=2313 description, category=B, price=52.0]
Widget [sequenceId=293, transactionId=1146, description=1146 description, category=A, price=95.0]
Widget [sequenceId=294, transactionId=8822, description=8822 description, category=A, price=35.0]
Widget [sequenceId=295, transactionId=5578, description=5578 description, category=C, price=69.0]
Widget [sequenceId=296, transactionId=2490, description=2490 description, category=B, price=84.0]
Widget [sequenceId=297, transactionId=3694, description=3694 description, category=A, price=79.0]
Widget [sequenceId=298, transactionId=1868, description=1868 description, category=B, price=50.0]
Widget [sequenceId=299, transactionId=5592, description=5592 description, category=B, price=57.0]
Widget [sequenceId=300, transactionId=1766, description=1766 description, category=D, price=28.0]
Widget [sequenceId=301, transactionId=5156, description=5156 description, category=B, price=84.0]
Widget [sequenceId=302, transactionId=9561, description=9561 description, category=B, price=68.0]
Widget [sequenceId=303, transactionId=3321, description=3321 description, category=B, price=28.0]
Widget [sequenceId=304, transactionId=5594, description=5594 description, category=B, price=63.0]
Widget [sequenceId=305, transactionId=9368, description=9368 description, category=C, price=45.0]
Widget [sequenceId=306, transactionId=1114, description=1114 description, category=C, price=98.0]
Widget [sequenceId=307, transactionId=1925, description=1925 description, category=D, price=94.0]
Widget [sequenceId=308, transactionId=4449, description=4449 description, category=D, price=57.0]
Widget [sequenceId=309, transactionId=6633, description=6633 description, category=B, price=79.0]
Widget [sequenceId=310, transactionId=9425, description=9425 description, category=D, price=68.0]
Widget [sequenceId=311, transactionId=3496, description=3496 description, category=B, price=38.0]
Widget [sequenceId=312, transactionId=9355, description=9355 description, category=C, price=74.0]
Widget [sequenceId=313, transactionId=2991, description=2991 description, category=C, price=35.0]
Widget [sequenceId=314, transactionId=4457, description=4457 description, category=B, price=57.0]
Widget [sequenceId=315, transactionId=1693, description=1693 description, category=D, price=33.0]
Widget [sequenceId=316, transactionId=5974, description=5974 description, category=A, price=88.0]
Widget [sequenceId=317, transactionId=6576, description=6576 description, category=C, price=66.0]
Widget [sequenceId=318, transactionId=8916, description=8916 description, category=D, price=78.0]
Widget [sequenceId=319, transactionId=4466, description=4466 description, category=B, price=95.0]
Widget [sequenceId=320, transactionId=3184, description=3184 description, category=D, price=87.0]
Widget [sequenceId=321, transactionId=6309, description=6309 description, category=A, price=34.0]
Widget [sequenceId=322, transactionId=6489, description=6489 description, category=C, price=35.0]
Widget [sequenceId=323, transactionId=3367, description=3367 description, category=D, price=40.0]
Widget [sequenceId=324, transactionId=8257, description=8257 description, category=B, price=30.0]
Widget [sequenceId=325, transactionId=2149, description=2149 description, category=B, price=92.0]
Widget [sequenceId=326, transactionId=3607, description=3607 description, category=D, price=78.0]
Widget [sequenceId=327, transactionId=2097, description=2097 description, category=D, price=73.0]
Widget [sequenceId=328, transactionId=6643, description=6643 description, category=D, price=95.0]
Widget [sequenceId=329, transactionId=8366, description=8366 description, category=A, price=84.0]
Widget [sequenceId=330, transactionId=6391, description=6391 description, category=B, price=82.0]
Widget [sequenceId=331, transactionId=9807, description=9807 description, category=A, price=76.0]
Widget [sequenceId=332, transactionId=2036, description=2036 description, category=D, price=29.0]
Widget [sequenceId=333, transactionId=2776, description=2776 description, category=B, price=39.0]
Widget [sequenceId=334, transactionId=2211, description=2211 description, category=A, price=31.0]
Widget [sequenceId=335, transactionId=7401, description=7401 description, category=D, price=58.0]
Widget [sequenceId=336, transactionId=2395, description=2395 description, category=B, price=79.0]
Widget [sequenceId=337, transactionId=7488, description=7488 description, category=D, price=37.0]
Widget [sequenceId=338, transactionId=9022, description=9022 description, category=C, price=99.0]
Widget [sequenceId=339, transactionId=6253, description=6253 description, category=B, price=72.0]
Widget [sequenceId=340, transactionId=8066, description=8066 description, category=C, price=70.0]
Widget [sequenceId=341, transactionId=2430, description=2430 description, category=B, price=73.0]
Widget [sequenceId=342, transactionId=4992, description=4992 description, category=C, price=53.0]
Widget [sequenceId=343, transactionId=1474, description=1474 description, category=B, price=73.0]
Widget [sequenceId=344, transactionId=5553, description=5553 description, category=C, price=38.0]
Widget [sequenceId=345, transactionId=3879, description=3879 description, category=D, price=96.0]
Widget [sequenceId=346, transactionId=5857, description=5857 description, category=A, price=53.0]
Widget [sequenceId=347, transactionId=9372, description=9372 description, category=A, price=60.0]
Widget [sequenceId=348, transactionId=3471, description=3471 description, category=C, price=87.0]
Widget [sequenceId=349, transactionId=7404, description=7404 description, category=B, price=64.0]
Widget [sequenceId=350, transactionId=3659, description=3659 description, category=D, price=45.0]
Widget [sequenceId=351, transactionId=2240, description=2240 description, category=A, price=69.0]
Widget [sequenceId=352, transactionId=8158, description=8158 description, category=D, price=64.0]
Widget [sequenceId=353, transactionId=7499, description=7499 description, category=B, price=72.0]
Widget [sequenceId=354, transactionId=1937, description=1937 description, category=C, price=71.0]
Widget [sequenceId=355, transactionId=8840, description=8840 description, category=B, price=36.0]
Widget [sequenceId=356, transactionId=2312, description=2312 description, category=A, price=98.0]
Widget [sequenceId=357, transactionId=9326, description=9326 description, category=A, price=90.0]
Widget [sequenceId=358, transactionId=4372, description=4372 description, category=A, price=31.0]
Widget [sequenceId=359, transactionId=9572, description=9572 description, category=B, price=81.0]
Widget [sequenceId=360, transactionId=4543, description=4543 description, category=D, price=71.0]
Widget [sequenceId=361, transactionId=2701, description=2701 description, category=D, price=94.0]
Widget [sequenceId=362, transactionId=7200, description=7200 description, category=D, price=55.0]
Widget [sequenceId=363, transactionId=1921, description=1921 description, category=A, price=46.0]
Widget [sequenceId=364, transactionId=2865, description=2865 description, category=B, price=26.0]
Widget [sequenceId=365, transactionId=9658, description=9658 description, category=D, price=95.0]
Widget [sequenceId=366, transactionId=4952, description=4952 description, category=B, price=27.0]
Widget [sequenceId=367, transactionId=3983, description=3983 description, category=D, price=89.0]
